dedo1,dedo2,dedo3,dedo4,dedo5,mano
1438.01,602.77,4003.28,373.89,1370.49,1933.88
1427.61,635.42,4021.62,399.92,1435.19,1809.71
1398.49,574.33,4036.3,373.13,1448.35,1811.77
1470.19,547.87,4048.04,365.71,1417.88,1769.41
1518.95,605.29,4057.43,334.16,1469.31,1688.53
1584.36,560.44,4057.54,315.33,1402.64,1696.02
1583.69,538.55,4065.04,295.87,1445.72,1621.22
1645.15,595.24,4071.03,257.29,1435.17,1556.18
1697.52,540.19,4075.82,263.43,1475.54,1596.94
1728.42,496.15,4079.66,262.35,1506.03,1614.15
1646.13,537.52,4082.73,230.08,1455.62,1675.72
1603.51,572.82,4085.18,392.06,1417.5,1621.58
1559.01,556.05,4087.15,374.45,1441.0,1559.06
1489.6,554.64,4088.72,347.76,1418.4,1562.05
1576.08,545.51,4011.17,323.61,1446.32,1538.24
1590.27,498.01,4027.94,302.49,1429.66,1517.79
1608.61,558.41,4041.35,293.19,1482.52,1421.63
1591.09,607.13,4052.08,288.95,1531.22,1475.71
1689.07,538.1,4060.66,302.76,1513.98,1420.37
1706.06,501.28,4067.53,306.21,1518.18,1359.29
1721.05,524.03,4073.03,293.57,1500.74,1318.83
1669.24,599.82,3942.62,333.65,1554.6,1369.47
1730.79,561.26,3973.1,347.32,1528.28,1369.77
1695.43,541.0,3997.48,324.86,1490.02,1416.22
1747.95,487.2,4016.98,291.09,1467.42,1328.58
1772.16,474.96,4032.59,299.87,1435.13,1241.66
1806.32,467.37,4045.07,294.3,1421.11,1201.13
1775.26,444.9,4055.05,295.24,1396.09,1162.7
1828.41,636.52,4063.04,261.79,1407.47,1221.16
1881.33,666.01,4069.44,245.63,1395.37,1247.93
1841.26,608.01,4074.55,282.31,1347.7,1232.14
1810.41,578.81,4078.64,269.24,1292.56,1174.52
1819.93,564.25,4081.91,292.8,1373.45,1102.21
1790.14,603.2,4084.53,280.84,1448.76,1115.37
1836.71,589.96,4086.62,326.87,1395.41,1112.5
1768.37,540.97,4088.3,399.3,1498.13,1073.0
1790.1,530.17,4089.64,351.04,1403.1,1110.8
1790.28,618.34,4090.71,370.63,1470.88,1044.44
1736.22,678.47,4091.57,469.7,1537.9,986.15
1705.78,698.38,4092.26,405.16,1484.92,926.12
1690.82,695.7,4092.8,367.73,1524.14,932.7
1621.26,715.96,4093.24,344.38,1460.11,947.96
1648.81,947.17,4093.59,385.71,1453.49,972.37
1799.04,857.14,4021.08,349.57,1465.19,953.89
1720.84,912.31,3861.86,316.05,1541.55,923.51
1635.27,984.25,3650.49,352.24,1636.24,975.61
1640.81,958.2,3452.79,419.79,1644.99,982.09
1740.45,961.96,3428.23,435.63,1640.4,985.07
1865.56,950.37,3331.19,418.11,1695.12,979.66
1870.05,866.29,3212.75,473.49,1671.69,1029.33
1947.24,804.83,3389.2,431.39,1695.95,1130.46
2027.59,1090.47,3530.36,525.51,1680.76,1163.17
2076.07,1143.97,3643.29,519.61,1776.61,1245.33
2166.66,1380.38,3733.63,497.49,1708.29,1381.47
2231.13,1292.3,3805.9,433.19,1734.43,1464.57
2306.1,1267.84,3863.72,496.15,1764.54,1478.66
2451.88,1235.87,3909.98,487.92,1809.64,1596.33
2554.9,1254.1,3946.98,466.14,1789.71,1908.46
2783.12,1192.48,3976.59,474.71,1755.57,2077.37
2872.5,1100.98,3998.67,535.17,1705.25,2369.1
3027.0,1011.99,3895.33,482.33,1604.8,2619.88
2949.0,987.79,3904.47,447.07,1637.04,2689.3
3015.2,1035.23,3942.57,459.05,1582.03,2774.24
3086.16,1013.39,3901.66,465.44,1560.03,2935.99
3071.73,881.71,3656.33,449.75,1504.22,3038.99
2996.78,904.37,3489.26,528.0,1552.58,3250.2
2817.23,922.89,3610.41,529.0,1647.66,3198.56
2679.38,1142.11,3707.33,653.6,1647.73,3377.84
2626.1,1055.69,3486.86,633.48,1713.58,3521.28
2549.28,1060.35,3608.49,645.59,1690.27,3530.22
2458.03,1130.28,3705.79,670.87,1672.81,3643.18
2292.62,1020.83,3632.83,671.09,1682.05,3490.14
2216.9,1034.66,3725.27,712.88,1554.04,3610.31
2243.72,1267.93,3799.21,753.3,1594.23,3654.45
2214.77,1242.74,3858.37,767.84,1624.39,3742.56
2253.62,1232.59,3905.7,827.67,1648.71,3756.65
2281.7,1324.08,3943.56,870.34,1656.97,3824.32
2110.16,1366.26,3973.85,898.87,1690.77,3795.05
2133.13,1218.81,3986.48,953.1,1740.22,3855.04
1991.7,1073.05,3948.18,997.68,1793.18,3903.03
1939.96,1093.64,3977.54,1018.54,1787.14,3842.23
1844.17,1051.91,4001.04,1063.43,1836.71,3892.78
1936.13,1029.73,4019.83,1081.75,1999.17,3933.23
1917.51,1105.18,3941.46,1140.4,2003.54,3962.58
1892.21,976.95,3937.57,1174.32,2176.63,3989.06
1877.96,966.96,3788.86,1188.25,2103.5,4000.85
1847.97,1059.57,3661.08,1243.2,2140.8,4019.68
1746.18,970.45,3747.87,1217.16,2301.24,4034.74
1757.74,958.36,3775.89,1257.13,2317.59,4027.2
1678.99,1013.09,3839.72,1295.5,2284.67,4040.76
1685.4,941.67,3890.77,1317.4,2275.74,4051.61
1654.92,857.94,3931.62,1319.72,2142.99,3933.88
1653.93,938.95,3964.29,1380.38,2037.79,3821.31
1722.95,932.36,3777.64,1382.7,2025.63,3876.05
1768.56,948.89,3820.11,1383.56,1935.51,3735.84
1694.65,910.91,3737.89,1420.85,1919.81,3647.67
